from,to,cost
15,18,456.27022114632877
18,15,456.27022114632877
15,28,667.1816976675216
28,15,667.1816976675216
15,122,589.1628397934741
122,15,589.1628397934741
15,240,772.1578216268512
240,15,772.1578216268512
15,252,651.6088906923798
252,15,651.6088906923798
15,294,832.6057540853054
294,15,832.6057540853054
15,297,310.83532821546567
297,15,310.83532821546567
15,319,1070.7614956803404
319,15,1070.7614956803404
15,350,749.3026616321685
350,15,749.3026616321685
16,23,795.6554337535425
23,16,795.6554337535425
16,24,932.4624162093439
24,16,932.4624162093439
16,56,304.9205160445863
56,16,304.9205160445863
16,81,352.65528924552484
81,16,352.65528924552484
16,99,883.4884019370609
99,16,883.4884019370609
16,203,912.3443410520052
203,16,912.3443410520052
16,204,505.65951577757295
204,16,505.65951577757295
16,292,953.4582214825282
292,16,953.4582214825282
16,308,431.3867284664818
308,16,431.3867284664818
17,28,390.1723271524068
28,17,390.1723271524068
17,70,306.9879137363099
70,17,306.9879137363099
17,76,725.7298342194875
76,17,725.7298342194875
17,95,520.5488846797815
95,17,520.5488846797815
17,120,426.7558016018701
120,17,426.7558016018701
17,131,598.2207001605988
131,17,598.2207001605988
17,179,679.1145852424214
179,17,679.1145852424214
17,213,659.6999197266654
213,17,659.6999197266654
17,220,735.0429628382622
220,17,735.0429628382622
17,297,829.661936536104
297,17,829.661936536104
17,323,777.4687541577276
323,17,777.4687541577276
18,28,587.6007810164439
28,18,587.6007810164439
18,51,616.7545695824992
51,18,616.7545695824992
18,94,778.0059998663213
94,18,778.0059998663213
18,95,733.7273412802683
95,18,733.7273412802683
18,122,507.25703962938485
122,18,507.25703962938485
18,220,446.12394168408593
220,18,446.12394168408593
18,251,918.3304673983511
251,18,918.3304673983511
18,297,581.7945217949723
297,18,581.7945217949723
19,42,429.8196607028731
42,19,429.8196607028731
19,44,715.6973555970483
44,19,715.6973555970483
19,124,300.6604584753153
124,19,300.6604584753153
19,159,532.5874811633962
159,19,532.5874811633962
19,165,282.5875768469633
165,19,282.5875768469633
19,215,311.8197375357774
215,19,311.8197375357774
19,268,485.3294544059296
268,19,485.3294544059296
19,334,470.80584400505904
334,19,470.80584400505904
19,335,529.8121584303212
335,19,529.8121584303212
19,563,525.1602468382863
563,19,525.1602468382863
20,22,290.2516281621463
22,20,290.2516281621463
20,31,711.4719792434872
31,20,711.4719792434872
20,87,513.3447327678537
87,20,513.3447327678537
20,111,512.6218167376298
111,20,512.6218167376298
20,127,372.5423436042349
127,20,372.5423436042349
20,156,569.1756241664203
156,20,569.1756241664203
20,177,186.88324755377644
177,20,186.88324755377644
20,180,522.6208343184007
180,20,522.6208343184007
20,192,333.78025504462795
192,20,333.78025504462795
21,73,367.6495531192847
73,21,367.6495531192847
21,92,432.02437540949256
92,21,432.02437540949256
21,125,549.4952558495528
125,21,549.4952558495528
21,127,585.1374550334665
127,21,585.1374550334665
21,130,167.44916883178905
130,21,167.44916883178905
21,144,289.49413689776935
144,21,289.49413689776935
21,155,622.0218279876159
155,21,622.0218279876159
21,156,168.35639660498654
156,21,168.35639660498654
21,192,363.97341213037583
192,21,363.97341213037583
22,31,457.0764895855184
31,22,457.0764895855184
22,87,289.35976626712716
87,22,289.35976626712716
22,127,389.997225713323
127,22,389.997225713323
22,177,398.1200338289974
177,22,398.1200338289974
22,192,585.1095720067266
192,22,585.1095720067266
22,243,623.8826175059703
243,22,623.8826175059703
23,24,497.2644404027776
24,23,497.2644404027776
23,56,491.74658980293276
56,23,491.74658980293276
23,104,419.9781959271587
104,23,419.9781959271587
23,124,668.4650071509269
124,23,668.4650071509269
23,204,593.8508972414701
204,23,593.8508972414701
23,215,652.3520106906582
215,23,652.3520106906582
23,266,762.4323398850148
266,23,762.4323398850148
23,308,463.2594794408834
308,23,463.2594794408834
23,334,747.7651978849485
334,23,747.7651978849485
24,56,680.4305081364168
56,24,680.4305081364168
24,81,796.6497437509599
81,24,796.6497437509599
24,82,708.2969529322352
82,24,708.2969529322352
24,104,530.8131897406411
104,24,530.8131897406411
24,126,730.1985141137966
126,24,730.1985141137966
24,129,797.0470681024335
129,24,797.0470681024335
24,204,467.63611359531143
204,24,467.63611359531143
24,205,741.2282809043835
205,24,741.2282809043835
24,265,380.1683209361275
265,24,380.1683209361275
24,308,812.0561823940343
308,24,812.0561823940343
25,26,437.56055220699136
26,25,437.56055220699136
25,50,854.3582998035915
50,25,854.3582998035915
25,74,497.20578865518866
74,25,497.20578865518866
25,80,1018.5067646189157
80,25,1018.5067646189157
25,191,525.6626947961132
191,25,525.6626947961132
25,310,807.7429870042798
310,25,807.7429870042798
25,327,675.4477188945516
327,25,675.4477188945516
26,74,664.2074777576485
74,26,664.2074777576485
26,114,898.0027904176115
114,26,898.0027904176115
26,116,867.3652916708031
116,26,867.3652916708031
26,166,789.4584435219323
166,26,789.4584435219323
26,191,423.33695666491894
191,26,423.33695666491894
26,254,957.304604575889
254,26,957.304604575889
26,310,826.2322340124709
310,26,826.2322340124709
26,327,408.88225016536114
327,26,408.88225016536114
27,42,364.5681376876097
42,27,364.5681376876097
27,44,610.1175149806063
44,27,610.1175149806063
27,49,250.43928145548475
49,27,250.43928145548475
27,66,597.1916334927366
66,27,597.1916334927366
27,92,576.8655854777609
92,27,576.8655854777609
27,97,330.0159710222655
97,27,330.0159710222655
27,125,532.6083605069468
